 Date Inserted,Reporting Date,Sale Month,Store,Artist,Title,ISRC,UPC,Quantity,Team Percentage,Song/Album,Country of Sale,Songwriter Royalties Withheld (USD),Earnings (USD),Recoup (USD)
2025-11-28,2025-11-28,2025-10,iTunes Match,Sonic Chill,Window Freakin (feat. Bundo Eebz),QZTAT2320735,197992013597,1,100,Song,US,0,0.00086961,0.00000000
2025-11-28,2025-11-28,2025-10,Apple Music,Sonic Chill,Window Freakin (feat. Bundo Eebz),QZTAT2320735,197992013597,1,100,Song,US,0,0.00841147,0.00000000
2025-11-27,2025-11-27,2025-10,Apple Music,Ebu Blackitude,Man Don't Like,QZPLR2205214,197208883785,1,100,Song,CA,0,0.00690897,0.00000000
2025-11-26,2025-11-26,2025-10,YouTube (Red),Sonic Chill,Motel Pool (feat. Bundo Eebz),QZTAT2320737,197992013597,1,100,Song,MX,0,0.00564238,0.00000000
2025-11-26,2025-11-26,2025-10,YouTube (Red),Ebu Blackitude,Times Up (feat. Juice Aleem),QZPLR2205212,197208883785,1,100,Song,GB,0,0.02508133,0.00000000
2025-11-03,2025-11-03,2025-08,Facebook,Sonic Chill,Ay Yo (feat. Bundo Eebz),QZTAT2320738,197992013597,1,100,Song,OU,0,0.00003818,0.00000000
2025-11-03,2025-11-03,2025-08,Facebook,Ebu Blackitude,Bright Lights,QZPLR2205216,197208883785,2,100,Song,OU,0,0.00194955,0.00000000
2025-11-03,2025-11-03,2025-07,Facebook,Sonic Chill,Ay Yo (feat. Bundo Eebz),QZTAT2320738,197992013597,3,100,Song,OU,0,0.00005433,0.00000000
2025-11-03,2025-11-03,2025-07,Facebook,Sonic Chill,Kizombo Style (feat. Bundo Eebz),QZES72345584,197629078784,1,100,Song,OU,0,0.00058367,0.00000000
2025-11-03,2025-11-03,2025-07,Facebook,Sonic Chill,Bring In (feat. Bundo Eebz),QZES72345577,197629078784,1,100,Song,OU,0,0.00001811,0.00000000
2025-11-03,2025-11-03,2025-07,Facebook,Ebu Blackitude,Oligarch (feat. Quartzcrystallus & Juice Aleem),QZPLR2205213,197208883785,1,100,Song,OU,0,0.00058367,0.00000000
2025-11-03,2025-11-03,2025-01,BoomplayCMS,Sonic Chill,Doxa (feat. Bundo Eebz),QZTB42206075,197388660190,1,100,Song,US,0,0.00004752,0.00000000
2025-10-26,2025-10-26,2025-09,Apple Music,Ebu Blackitude,Movements,QZPLR2205207,197208883785,1,100,Song,US,0,0.00463435,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Chilled Rush (feat. Bundo Eebz),QZTAT2320740,197992013597,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Juiciness (feat. Bundo Eebz),QZTAT2320739,197992013597,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Dusk Traffic (feat. Bundo Eebz),QZTAT2320736,197992013597,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Window Freakin (feat. Bundo Eebz),QZTAT2320735,197992013597,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Sublime Cruise (feat. Bundo Eebz),QZTAT2320734,197992013597,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Junction (feat. Bundo Eebz),QZTAT2320733,197992013597,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Revz (feat. Bundo Eebz),QZTAT2320732,197992013597,2,100,Song,GB,0,0.05219568,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Brand New Day (feat. Bundo Eebz),QZTAT2320731,197992013597,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,LaBear 2,QZES72345586,197629078784,2,100,Song,GB,0,0.05219568,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Kali Zing 2 (feat. Bundo Eebz),QZES72345585,197629078784,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Kizombo Style (feat. Bundo Eebz),QZES72345584,197629078784,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Puerto (feat. Bundo Eebz),QZES72345583,197629078784,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Mountain View (feat. Bundo Eebz),QZES72345582,197629078784,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Bakelite (feat. Bundo Eebz),QZES72345581,197629078784,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Kinch (feat. Bundo Eebz),QZES72345580,197629078784,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Legacy (feat. Bundo Eebz),QZES72345579,197629078784,2,100,Song,GB,0,0.05219568,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Guidance (feat. Bundo Eebz),QZES72345578,197629078784,2,100,Song,GB,0,0.05219568,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Bring In (feat. Bundo Eebz),QZES72345577,197629078784,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Kali Zing (feat. Bundo Eebz),QZTB42206077,197388660190,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Momentus (feat. Bundo Eebz),QZTB42206076,197388660190,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Bassixx (feat. Bundo Eebz),QZTB42206072,197388660190,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Cruise (feat. Bundo Eebz),QZTB42206071,197388660190,2,100,Song,GB,0,0.05219568,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Sonic Chill,Drop (feat. Bundo Eebz),QZTB42206070,197388660190,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Ebu Blackitude,Oligarch (feat. Quartzcrystallus & Juice Aleem),QZPLR2205213,197208883785,2,100,Song,GB,0,0.03782331,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Ebu Blackitude,SCYAM,QZPLR2205211,197208883785,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Red),Ebu Blackitude,Movements,QZPLR2205207,197208883785,1,100,Song,GB,0,0.02609784,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Ads),Ebu Blackitude,Times Up pt. 2 (feat. MKD),QZTB22302561,195334962473,1,100,Song,GB,0,0.00648795,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Ads),Ebu Blackitude,Journeyman,QZPLR2205219,197208883785,1,100,Song,GB,0,0.00009086,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Ads),Ebu Blackitude,Free Paper (feat. Aurelius),QZPLR2205218,197208883785,1,100,Song,GB,0,0.00011555,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Ads),Ebu Blackitude,Bright Lights,QZPLR2205216,197208883785,1,100,Song,GB,0,0.00261608,0.00000000
2025-10-24,2025-10-24,2025-09,YouTube (Ads),Ebu Blackitude,Oligarch (feat. Quartzcrystallus & Juice Aleem),QZPLR2205213,197208883785,5,100,Song,GB,0,0.01379733,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Times Up pt. 2 (feat. MKD),QZTB22302561,195334962473,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Chilled Rush (feat. Bundo Eebz),QZTAT2320740,197992013597,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Motel Pool (feat. Bundo Eebz),QZTAT2320737,197992013597,1,100,Song,MX,0,0.00565890,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Sublime Cruise (feat. Bundo Eebz),QZTAT2320734,197992013597,2,100,Song,MX,0,0.01131780,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Kali Zing 2 (feat. Bundo Eebz),QZES72345585,197629078784,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Puerto (feat. Bundo Eebz),QZES72345583,197629078784,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Bakelite (feat. Bundo Eebz),QZES72345581,197629078784,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Legacy (feat. Bundo Eebz),QZES72345579,197629078784,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Guidance (feat. Bundo Eebz),QZES72345578,197629078784,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Bring In (feat. Bundo Eebz),QZES72345577,197629078784,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Bassixx (feat. Bundo Eebz),QZTB42206072,197388660190,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Sonic Chill,Drop (feat. Bundo Eebz),QZTB42206070,197388660190,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Mission Complete,QZPLR2205220,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Journeyman,QZPLR2205219,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Free Paper (feat. Aurelius),QZPLR2205218,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Crying (feat. Defisis),QZPLR2205217,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Bright Lights,QZPLR2205216,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,The Bone Collector (feat. Afua),QZPLR2205215,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Man Don't Like,QZPLR2205214,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
2025-09-26,2025-09-26,2025-08,YouTube (Red),Ebu Blackitude,Oligarch (feat. Quartzcrystallus & Juice Aleem),QZPLR2205213,197208883785,1,100,Song,GB,0,0.02471122,0.00000000
